uniprot_accession,signal_peptide,transmembrane,topological_domain,subcellular_location_[cc]
Q9HCH0,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:26482847, ECO:0000269|PubMed:26485573, ECO:0000269|PubMed:26549230}. Note=Localizes to microtubule plus ends (PubMed:26482847, PubMed:26485573). Associates with centrosomes during interphase, but dissociates from these structures from the onset of mitosis (PubMed:26549230). {ECO:0000269|PubMed:26482847, ECO:0000269|PubMed:26485573, ECO:0000269|PubMed:26549230}."
Q9H2G2,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q9H6H4,,"TRANSMEM 1..21; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 42..62; /note=""Helical""; /evidence=""ECO:0000255""",,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23911198}; Multi-pass membrane protein {ECO:0000269|PubMed:23911198}.
Q9HBH0,,,,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasm, cytoskeleton."
Q9NP64,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12893261}."
Q9NQQ7,,"TRANSMEM 14..34; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 42..62; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 104..124; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 136..156; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 158..178; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 202..222; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 242..262; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 294..316; /note=""Helical""; /evidence=""ECO:0000255""",,"SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:20837470}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:20837470}; Multi-pass membrane protein {ECO:0000255}."
Q9NRC1,,"TRANSMEM 15..35; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 62..82; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 512..532; /note=""Helical""; /evidence=""ECO:0000255""",,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9H4A3,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10660600, ECO:0000269|PubMed:17190791, ECO:0000269|PubMed:21220314, ECO:0000269|PubMed:22989884, ECO:0000269|PubMed:27911840, ECO:0000269|PubMed:33964204, ECO:0000269|PubMed:36318922}. Nucleus {ECO:0000269|PubMed:29196535}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:21220314}. Note=Mediates formation and localizes to cytoplasmic membraneless compartment in response to hyperosmotic stress (PubMed:36318922). Also localizes to the nucleus (PubMed:29196535). Localizes to the mitotic spindle during mitosis (PubMed:21220314). {ECO:0000269|PubMed:21220314, ECO:0000269|PubMed:29196535, ECO:0000269|PubMed:36318922}."
Q9H8V3,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10579713, ECO:0000269|PubMed:14645260, ECO:0000269|PubMed:15254234, ECO:0000269|PubMed:16103226, ECO:0000269|PubMed:16495035, ECO:0000269|PubMed:19617897}. Cytoplasm {ECO:0000269|PubMed:10579713, ECO:0000269|PubMed:16236794, ECO:0000269|PubMed:16394104}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:10579713, ECO:0000269|PubMed:16103226, ECO:0000269|PubMed:16236794, ECO:0000269|PubMed:17115030, ECO:0000269|PubMed:19468300}. Cleavage furrow {ECO:0000269|PubMed:10579713}. Midbody {ECO:0000269|PubMed:15254234, ECO:0000269|PubMed:16394104, ECO:0000269|PubMed:17115030}. Cell junction {ECO:0000269|PubMed:15254234, ECO:0000269|PubMed:16495035}. Cell junction, tight junction {ECO:0000269|PubMed:15254234}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:17115030}. Note=Sequestered within the nucleus during interphase (PubMed:10579713). Dispersed throughout the cytoplasm upon breakdown of the nuclear envelope during mitosis (PubMed:10579713). Colocalizes with the centralspindlin complex to the mitotic spindles during anaphase/metaphase, the cleavage furrow during telophase and at the midbody at the end of cytokinesis (PubMed:10579713). Colocalized with RhoA at the midbody (PubMed:10579713). Its subcellular localization to tight junction is increased by calcium (PubMed:15254234). {ECO:0000269|PubMed:10579713, ECO:0000269|PubMed:15254234}."
Q9H609,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9HBR0,,"TRANSMEM 4..24; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 36..58; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 84..104; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 120..140; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 153..173; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 229..249; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 272..292; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 323..343; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 345..365; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 378..398; /note=""Helical""; /evidence=""ECO:0000255""",,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9H920,,"TRANSMEM 50..70; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 79..99; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 100..120; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 148..168; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 172..192; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 306..326; /note=""Helical""; /evidence=""ECO:0000255""",,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q09251}; Multi-pass membrane protein {ECO:0000305}.
Q9H9Y2,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}."
Q9NSI2,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:P53251}."
Q9H2T7,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Nucleus, nuclear pore complex {ECO:0000250}."
Q9H3E2,,,,SUBCELLULAR LOCATION: Endosome membrane {ECO:0000269|PubMed:14975938}; Peripheral membrane protein {ECO:0000269|PubMed:14975938}. Note=Detected in endosome-derived secreted vesicles (exosomes) from malignant pleural effusions.
Q9H819,,"TRANSMEM 228..248; /note=""Helical""; /evidence=""ECO:0000255""",,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:25631089}; Single-pass membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: Note=(Microbial infection) Upon SV40 infection, colocalizes with BCAP31, DNAJB12 and DNAJB14 in punctate structures within the endoplasmic reticulum membrane. {ECO:0000269|PubMed:25631089}."
Q9H9R9,,,,
Q9NT62,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11825910}.
Q9NUQ2,,"TRANSMEM 15..35; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 61..81; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 344..364; /note=""Helical""; /evidence=""ECO:0000255""",,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:21173190}; Multi-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000269|PubMed:21173190}. Mitochondrion {ECO:0000269|PubMed:21173190}.
Q9NVH1,,,,"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25997101}. Note=Isoforms show differential submitochondrial localization. A 57 kDa form (potentially isoform 3) shows either mitochondrial matrix or innermembrane (IM) localization, possibly anchored to the IM facing the matrix. A 35 kDa form behaved either as an inner membrane space (IMS) or an IM protein exposed to the IMS. {ECO:0000269|PubMed:25111180}.; SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion outer membrane {ECO:0000269|PubMed:25111180}; Peripheral membrane protein {ECO:0000269|PubMed:25111180}."
Q9NY61,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:34516797}."
Q9NYA1,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14575709, ECO:0000269|PubMed:19854831, ECO:0000269|PubMed:29662056}. Nucleus {ECO:0000269|PubMed:14575709, ECO:0000269|PubMed:19854831, ECO:0000269|PubMed:29662056}. Cell membrane {ECO:0000269|PubMed:19854831}. Endosome membrane {ECO:0000269|PubMed:24929359}; Peripheral membrane protein {ECO:0000269|PubMed:24929359}. Membrane, clathrin-coated pit {ECO:0000269|PubMed:24929359}. Synapse {ECO:0000250|UniProtKB:Q8CI15}. Note=Translocated from the cytoplasm to the plasma membrane in a CIB1-dependent manner (PubMed:19854831). Binds to membranes containing negatively charged lipids but not neutral lipids (PubMed:24929359). Recruited to endocytic membranes by sphingosine where promotes membrane fusion (By similarity). {ECO:0000250|UniProtKB:Q8CI15, ECO:0000269|PubMed:19854831, ECO:0000269|PubMed:24929359}."
Q9NYG5,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11573242}. Nucleus {ECO:0000269|PubMed:11573242}.
Q9NYV4,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11683387}. Nucleus speckle {ECO:0000269|PubMed:11683387}. Note=Colocalized with nuclear speckles throughout interphase. {ECO:0000269|PubMed:11683387}.
Q9NZ63,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:35167828}. Chromosome, centromere {ECO:0000269|PubMed:35167828}. Note=Dispersed throughout the nucleus during interphase (PubMed:35167828). Colocalizes with microtubule attachment sites at centromeres following mitotic checkpoint activation (PubMed:35167828). {ECO:0000269|PubMed:35167828}."
Q9P0I2,,"TRANSMEM 15..38; /note=""Helical""; /evidence=""ECO:0000269|PubMed:32439656""; TRANSMEM 115..130; /note=""Helical""; /evidence=""ECO:0000269|PubMed:32439656""; TRANSMEM 169..187; /note=""Helical""; /evidence=""ECO:0000269|PubMed:32439656""","TOPO_DOM 2..14; /note=""Lumenal""; /evidence=""ECO:0000269|PubMed:32439656""; TOPO_DOM 39..114; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:32439656""; TOPO_DOM 131..168; /note=""Lumenal""; /evidence=""ECO:0000269|PubMed:32439656""; TOPO_DOM 188..261; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:32439656""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22119785}; Multi-pass membrane protein {ECO:0000269|PubMed:32439656}.
Q9P0S3,,"TRANSMEM 27..46; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 47..64; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 101..121; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 124..140; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..26; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 65..100; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 122..123; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 141..153; /note=""Cytoplasmic""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12093374}; Multi-pass membrane protein {ECO:0000269|PubMed:12093374}.
Q9P2W9,,"TRANSMEM 310..330; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""","TOPO_DOM 1..309; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 331..335; /note=""Vesicular""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:15029241}; Single-pass type IV membrane protein {ECO:0000305|PubMed:15029241}. Golgi apparatus membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}.
Q9NSP4,,,,"SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Chromosome, centromere, kinetochore. Note=Nuclear in non-confluent cells and cytoplasmic in confluent or dividing cells (By similarity). Localizes in the kinetochore domain of centromeres. {ECO:0000250}."
Q9NUX5,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12391173, ECO:0000269|PubMed:27013236, ECO:0000269|PubMed:30586141, ECO:0000269|PubMed:35420632, ECO:0000269|PubMed:37140166}. Chromosome, telomere {ECO:0000269|PubMed:12391173, ECO:0000269|PubMed:27013236, ECO:0000269|PubMed:30586141, ECO:0000269|PubMed:35420632, ECO:0000269|PubMed:37140166}. Note=Colocalizes with telomeric DNA. {ECO:0000269|PubMed:12391173}."
Q9NV31,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12655004, ECO:0000269|PubMed:34516797}."
Q9NW13,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:17081119, ECO:0000269|Ref.7}."
Q9NX70,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15555573}.
Q9NYM9,,"TRANSMEM 87..107; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""","TOPO_DOM 1..86; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 108..111; /note=""Lumenal""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250}. Note=Present throughout the Golgi apparatus, with increasing concentration from cis-Golgi to the trans-Golgi face of the stacks. {ECO:0000250}."
Q9NYP7,,"TRANSMEM 26..46; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03205""; TRANSMEM 64..84; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03205""; TRANSMEM 112..132; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03205""; TRANSMEM 139..158; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03205""; TRANSMEM 168..187; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03205""; TRANSMEM 205..225; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03205""; TRANSMEM 226..246; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03205""",,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03205, ECO:0000269|PubMed:20937905}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03205}. Cell projection, dendrite {ECO:0000255|HAMAP-Rule:MF_03205, ECO:0000269|PubMed:25065913}. Note=In Purkinje cells, the protein localizes to the soma and proximal portion of the dendritic tree. {ECO:0000255|HAMAP-Rule:MF_03205, ECO:0000269|PubMed:25065913}."
Q9NZL4,,,,
Q9P0L0,,"TRANSMEM 228..248; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""","TOPO_DOM 2..227; /note=""Cytoplasmic""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10523508, ECO:0000269|PubMed:16143324, ECO:0000269|PubMed:19289470, ECO:0000269|PubMed:25447204, ECO:0000269|PubMed:30741634, ECO:0000269|PubMed:32344433, ECO:0000269|PubMed:33124732}; Single-pass type IV membrane protein {ECO:0000269|PubMed:10523508, ECO:0000269|PubMed:19289470}. Cell membrane {ECO:0000269|PubMed:25447204}; Single-pass type IV membrane protein {ECO:0000305}. Cell junction, tight junction {ECO:0000269|PubMed:10523508}. Nucleus membrane {ECO:0000250|UniProtKB:Q9Z270}. Note=Present in the plasma membrane and in intracellular vesicles, together with SNARE proteins. May also associate with the cytoskeleton. Colocalizes with OCLN at the tight junction in polarized epithelial cells. {ECO:0000269|PubMed:10523508}."
Q9P1W9,,,,
Q9P2M4,,,,"SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network {ECO:0000269|PubMed:22613832, ECO:0000269|PubMed:26711178}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:22613832}. Note=After amino acid starvation, Golgi apparatus-associated protein levels increase compared with fed conditions. May be cycling between the Golgi apparatus and an endosomal pool, redistributing to the Golgi apparatus upon starvation."
Q9P2W1,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11739747}.
Q9UBB4,,,,"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000269|PubMed:16498633, ECO:0000269|PubMed:25666058}. Midbody {ECO:0000269|PubMed:21857149, ECO:0000269|PubMed:25666058}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:P28658}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:P28658}. Note=Localizes to the midbody during telophase. {ECO:0000269|PubMed:25666058}."
Q9UBF2,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasmic vesicle, COPI-coated vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it. Tends to be more abundant in the trans-Golgi network compared to the cis-Golgi. {ECO:0000250}."
Q9UBM7,,"TRANSMEM 40..60; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 154..174; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 177..197; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 266..286; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 306..326; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 331..351; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 420..440; /note=""Helical""; /evidence=""ECO:0000255""",,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:9878250}; Multi-pass membrane protein {ECO:0000255}.
Q9NTJ5,,"TRANSMEM 521..541; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 549..569; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..520; /note=""Cytoplasmic""; /evidence=""ECO:0000250|UniProtKB:Q9ES21""; TOPO_DOM 542..548; /note=""Lumenal""; /evidence=""ECO:0000250|UniProtKB:Q9ES21""; TOPO_DOM 570..587; /note=""Cytoplasmic""; /evidence=""ECO:0000250|UniProtKB:Q9ES21""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:27044890, ECO:0000269|PubMed:29461204, ECO:0000269|PubMed:31806350}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:29461204, ECO:0000269|PubMed:31806350}. Note=Trafficking between the ER and Golgi is regulated by nutrient status and by TMEM39A (PubMed:31806350). Localizes to endoplasmic reticulum-plasma membrane contact sites (EPCS) in the presence of phosphatidylinositol-4,5-bisphosphate (PubMed:27044890). {ECO:0000269|PubMed:27044890, ECO:0000269|PubMed:31806350}."
Q9NTM9,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16182249}. Nucleus {ECO:0000269|PubMed:16182249}. Note=The overexpressed protein is detected in the cytoplasm, and depending on the cell line, also in the nucleus."
Q9NVJ2,,,,"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:16537643}. Lysosome membrane {ECO:0000269|PubMed:16650381, ECO:0000269|PubMed:21802320, ECO:0000269|PubMed:22172677, ECO:0000269|PubMed:25898167, ECO:0000269|PubMed:27808481, ECO:0000269|PubMed:28325809, ECO:0000269|PubMed:29592961}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:15331635}. Cell projection, axon {ECO:0000250|UniProtKB:Q9CQW2}. Synapse {ECO:0000250|UniProtKB:Q9CQW2}. Cytolytic granule membrane {ECO:0000269|PubMed:24088571}. Early endosome membrane {ECO:0000269|PubMed:36282215}. Note=GTP-bound form resides on lysosomal membranes, whereas GDP-bound form is likely associated with microtubular structures (PubMed:16650381). Localizes with microtubules at the spindle mid-zone during mitosis. In dendritic cells, localizes to MHC II+ compartments (By similarity). {ECO:0000250|UniProtKB:Q9CQW2, ECO:0000269|PubMed:15331635, ECO:0000269|PubMed:16650381}."
Q9NW08,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:33335104, ECO:0000269|PubMed:33417887}. Cytoplasm, cytosol {ECO:0000269|PubMed:33335104}."
Q9NX09,,,,"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Cytoplasm, cytosol {ECO:0000269|PubMed:12453409}."
Q9NXB9,,"TRANSMEM 29..49; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03202""; TRANSMEM 67..87; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03202""; TRANSMEM 115..135; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03202""; TRANSMEM 153..173; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03202""; TRANSMEM 175..195; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03202""; TRANSMEM 208..225; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03202""; TRANSMEM 230..250; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03202""",,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03202, ECO:0000269|PubMed:20937905}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03202}."
Q9NY12,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus. Nucleus, Cajal body. Note=Also localized to Cajal bodies (coiled bodies)."
Q9NY93,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:22925334, ECO:0000269|PubMed:31340999, ECO:0000269|PubMed:33789112}."
Q9NYV6,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:11250903}."
Q9NZC7,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14695174, ECO:0000269|PubMed:15070730, ECO:0000269|PubMed:16219768, ECO:0000269|PubMed:19366691, ECO:0000269|PubMed:19465938}. Nucleus {ECO:0000269|PubMed:14695174, ECO:0000269|PubMed:15064722, ECO:0000269|PubMed:16219768, ECO:0000269|PubMed:19366691}. Mitochondrion {ECO:0000269|PubMed:14695174}. Golgi apparatus {ECO:0000269|PubMed:30285739}. Lysosome {ECO:0000269|PubMed:30285739}. Note=Partially localizes to the mitochondria (PubMed:14695174). Translocates to the nucleus upon genotoxic stress or TNF stimulation (By similarity). Translocates to the nucleus in response to TGFB1 (PubMed:19366691). Isoform 5 and isoform 6 may localize in the nucleus. Localized to the lysosome probably upon binding to VOPP1 (PubMed:30285739). {ECO:0000250, ECO:0000269|PubMed:14695174, ECO:0000269|PubMed:19366691, ECO:0000269|PubMed:30285739}."
Q9P253,,,,"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:11382755}; Peripheral membrane protein {ECO:0000269|PubMed:11382755}; Cytoplasmic side {ECO:0000305}. Lysosome membrane {ECO:0000269|PubMed:11382755, ECO:0000269|PubMed:21802320}; Peripheral membrane protein {ECO:0000269|PubMed:11382755}; Cytoplasmic side {ECO:0000305}. Early endosome {ECO:0000269|PubMed:18552835}. Cytoplasmic vesicle, autophagosome {ECO:0000305}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000305}. Note=Cytoplasmic, peripheral membrane protein associated with early endosomes and late endosomes/lysosomes."
Q9NUM4,,"TRANSMEM 97..117; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 2..96; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:22511793, ECO:0000269|PubMed:23136129, ECO:0000269|PubMed:25066864""; TOPO_DOM 118..274; /note=""Lumenal""; /evidence=""ECO:0000269|PubMed:22511793, ECO:0000269|PubMed:23136129, ECO:0000269|PubMed:25066864""","SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:22511793, ECO:0000269|PubMed:23136129, ECO:0000269|PubMed:25066864}; Single-pass type II membrane protein {ECO:0000269|PubMed:22511793, ECO:0000269|PubMed:23136129, ECO:0000269|PubMed:25066864}. Lysosome membrane {ECO:0000269|PubMed:22511793, ECO:0000269|PubMed:25066864, ECO:0000269|PubMed:37421949}; Single-pass type II membrane protein {ECO:0000269|PubMed:22511793, ECO:0000269|PubMed:23136129, ECO:0000269|PubMed:25066864}. Cell membrane {ECO:0000269|PubMed:37421949}; Single-pass type II membrane protein {ECO:0000255}. Note=Colocalizes with LAMP1. A small fraction resides on the cell surface (PubMed:37421949). {ECO:0000269|PubMed:22511793, ECO:0000269|PubMed:25066864, ECO:0000269|PubMed:37421949}."
Q9NVC6,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9NWQ9,,,,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:22361696}.
Q9NX24,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus. Nucleus, Cajal body. Note=Also localized to Cajal bodies (coiled bodies)."
Q9NY26,,"TRANSMEM 31..51; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 69..89; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 105..125; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 180..200; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 207..227; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 238..258; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 273..293; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 304..324; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..30; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 52..68; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 90..104; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 126..179; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 201..206; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 228..237; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 259..272; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 294..303; /note=""Cytoplasmic""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11301334, ECO:0000269|PubMed:11696349, ECO:0000269|PubMed:16844077}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11696349}; Multi-pass membrane protein {ECO:0000255}. Note=Shows a vesicular localization corresponding partially to the endoplasmic reticulum in several epithelial cell lines. {ECO:0000269|PubMed:11696349}."
